#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
5156.86 0.2240698514
5157.43 0.2241061564
5158.00 0.2241424639
5158.57 0.2241790974
5159.14 0.2242156127
5159.71 0.2242524107
5160.28 0.2243270022
5160.85 0.2244405344
5161.42 0.2245543325
5161.99 0.2246689570
5162.56 0.2247826448
5163.13 0.2248963522
5163.70 0.2250100792
5164.27 0.2251243963
5164.84 0.2252383560
5165.41 0.2253525286
5165.98 0.2254672386
5166.56 0.2255810641
5167.12 0.2256944881
5167.69 0.2258085461
5168.27 0.2259233790
5168.84 0.2260377667
5169.40 0.2261512690
5169.98 0.2262657743
5170.55 0.2264130218
5171.12 0.2265615014
5171.69 0.2267111605
5172.26 0.2268597915
5172.83 0.2270083530
5173.40 0.2271570915
5173.98 0.2273067108
5174.55 0.2274555480
5175.12 0.2276043156
5175.69 0.2277541142
5176.26 0.2279031304
5176.83 0.2280514076
5177.40 0.2282005751
5177.98 0.2283505806
