#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
4858.83 0.1718079544
4859.37 0.1722042842
4859.91 0.1726025319
4860.44 0.1728199239
4860.98 0.1730011319
4861.52 0.1731820515
4862.05 0.1733628248
4862.59 0.1735444134
4863.12 0.1737240947
4863.67 0.1739066457
4864.20 0.1740875620
4864.74 0.1742678961
4865.28 0.1744500284
4865.82 0.1746321610
4866.35 0.1748126379
4866.89 0.1749932964
4867.43 0.1751758458
4867.97 0.1753585225
4868.50 0.1755390148
4869.04 0.1757216724
4869.57 0.1759024542
4870.11 0.1760960289
4870.65 0.1763302931
4871.19 0.1765635847
4871.73 0.1767971420
4872.26 0.1770294522
4872.80 0.1772642708
4873.34 0.1774989547
4873.88 0.1777328836
4874.42 0.1779671335
4874.96 0.1782026899
4875.50 0.1784359580
4876.03 0.1786702588
4876.57 0.1789046982
4877.11 0.1791402079
4877.65 0.1793739018
4878.19 0.1796099632
4878.73 0.1798448119
4879.27 0.1800799451
4879.81 0.1803163325
4880.34 0.1805421716
4880.88 0.1807658664
4881.42 0.1809873200
4881.96 0.1812113787
4882.50 0.1814355198
4883.04 0.1816574727
4883.58 0.1818816126
4884.12 0.1821058518
4884.66 0.1823281215
4885.20 0.1825528538
4885.74 0.1827762392
4886.28 0.1829999438
4886.81 0.1832227039
4887.36 0.1834479826
4887.90 0.1836733067
4888.44 0.1838961098
4888.98 0.1841211585
4889.51 0.1843441963
4890.06 0.1845628759
4890.60 0.1847214122
4891.14 0.1848801082
4891.68 0.1850395513
4892.22 0.1851975541
4892.76 0.1853570048
4893.30 0.1855169441
4893.84 0.1856752215
4894.38 0.1858351307
4894.92 0.1859947581
4895.46 0.1861531649
4896.00 0.1863115104
4896.54 0.1864717259
4897.08 0.1866318426
4897.62 0.1867902796
4898.16 0.1869504043
4898.70 0.1871091772
4899.25 0.1872698600
4899.78 0.1874291142
4900.33 0.1875834630
4900.87 0.1877313370
4901.41 0.1878786121
4901.95 0.1880274294
4902.50 0.1881765503
4903.03 0.1883240929
4903.58 0.1884730869
4904.12 0.1886220176
4904.66 0.1887696443
4905.20 0.1889183324
4905.74 0.1890671404
4906.29 0.1892167737
4906.83 0.1893646962
4907.37 0.1895140721
4907.91 0.1896620893
4908.45 0.1898120198
4908.99 0.1899604220
4909.54 0.1901105013
4910.08 0.1902625919
